year,geo,gender,value
2010,All Europe,Males,0.805
2010,All Europe,Females,0.195
2010,Belgium,Males,0.866
2010,Belgium,Females,0.134
2010,Bulgaria,Males,0.677
2010,Bulgaria,Females,0.32299999999999995
2010,Czechia,Males,0.951
2010,Czechia,Females,0.049
2010,Denmark,Males,0.784
2010,Denmark,Females,0.21600000000000003
2010,Germany,Males,0.8740000000000001
2010,Germany,Females,0.12599999999999995
2010,Estonia,Males,0.7809999999999999
2010,Estonia,Females,0.21900000000000006
2010,Ireland,Males,0.642
2010,Ireland,Females,0.358
2010,Greece,Males,0.609
2010,Greece,Females,0.391
2010,Spain,Males,0.763
2010,Spain,Females,0.237
2010,France,Males,0.8240000000000001
2010,France,Females,0.17600000000000002
2010,Croatia,Males,0.762
2010,Croatia,Females,0.23800000000000002
2010,Italy,Males,0.764
2010,Italy,Females,0.23600000000000002
2010,Cyprus,Males,0.62
2010,Cyprus,Females,0.38
2010,Latvia,Males,0.735
2010,Latvia,Females,0.265
2010,Lithuania,Males,0.773
2010,Lithuania,Females,0.22700000000000004
2010,Luxembourg,Males,0.9079999999999999
2010,Luxembourg,Females,0.09200000000000003
2010,Hungary,Males,0.843
2010,Hungary,Females,0.157
2010,Malta,Males,0.768
2010,Malta,Females,0.23199999999999998
2010,Netherlands,Males,0.9129999999999999
2010,Netherlands,Females,0.087
2010,Austria,Males,0.86
2010,Austria,Females,0.14
2010,Poland,Males,0.8340000000000001
2010,Poland,Females,0.166
2010,Portugal,Males,0.7440000000000001
2010,Portugal,Females,0.256
2010,Romania,Males,0.679
2010,Romania,Females,0.321
2010,Slovenia,Males,0.9640000000000001
2010,Slovenia,Females,0.03599999999999994
2010,Slovakia,Males,0.8809999999999999
2010,Slovakia,Females,0.11900000000000005
2010,Finland,Males,0.6779999999999999
2010,Finland,Females,0.322
2010,Sweden,Males,0.753
2010,Sweden,Females,0.247
2010,United Kingdom,Males,0.8109999999999999
2010,United Kingdom,Females,0.18899999999999997
2010,Iceland,Males,0.684
2010,Iceland,Females,0.316
2010,Switzerland,Males,0.871
2010,Switzerland,Females,0.129
2010,North Macedonia,Males,0.868
2010,North Macedonia,Females,0.13200000000000003
2010,Serbia,Males,0.7659999999999999
2010,Serbia,Females,0.23400000000000007
2010,Turkey,Males,0.7290000000000001
2010,Turkey,Females,0.271
2011,All Europe,Males,0.797
2011,All Europe,Females,0.203
2011,Belgium,Males,0.8690000000000001
2011,Belgium,Females,0.131
2011,Bulgaria,Males,0.584
2011,Bulgaria,Females,0.41600000000000004
2011,Czechia,Males,0.935
2011,Czechia,Females,0.065
2011,Denmark,Males,0.8170000000000001
2011,Denmark,Females,0.183
2011,Germany,Males,0.8640000000000001
2011,Germany,Females,0.136
2011,Estonia,Males,0.635
2011,Estonia,Females,0.365
2011,Ireland,Males,0.6609999999999999
2011,Ireland,Females,0.33899999999999997
2011,Greece,Males,0.6409999999999999
2011,Greece,Females,0.359
2011,Spain,Males,0.741
2011,Spain,Females,0.259
2011,France,Males,0.848
2011,France,Females,0.152
2011,Croatia,Males,0.802
2011,Croatia,Females,0.198
2011,Italy,Males,0.7240000000000001
2011,Italy,Females,0.276
2011,Cyprus,Males,0.591
2011,Cyprus,Females,0.409
2011,Latvia,Males,0.731
2011,Latvia,Females,0.2690000000000001
2011,Lithuania,Males,0.802
2011,Lithuania,Females,0.19799999999999998
2011,Luxembourg,Males,0.852
2011,Luxembourg,Females,0.14799999999999996
2011,Hungary,Males,0.8590000000000001
2011,Hungary,Females,0.141
2011,Malta,Males,0.789
2011,Malta,Females,0.21100000000000002
2011,Netherlands,Males,0.915
2011,Netherlands,Females,0.085
2011,Austria,Males,0.833
2011,Austria,Females,0.16699999999999998
2011,Poland,Males,0.843
2011,Poland,Females,0.157
2011,Portugal,Males,0.799
2011,Portugal,Females,0.201
2011,Romania,Males,0.727
2011,Romania,Females,0.273
2011,Slovenia,Males,0.965
2011,Slovenia,Females,0.035
2011,Slovakia,Males,0.868
2011,Slovakia,Females,0.13200000000000003
2011,Finland,Males,0.682
2011,Finland,Females,0.318
2011,Sweden,Males,0.741
2011,Sweden,Females,0.259
2011,United Kingdom,Males,0.731
2011,United Kingdom,Females,0.26899999999999996
2011,Iceland,Males,0.795
2011,Iceland,Females,0.205
2011,Switzerland,Males,0.873
2011,Switzerland,Females,0.127
2011,Montenegro,Males,0.693
2011,Montenegro,Females,0.30700000000000005
2011,North Macedonia,Males,0.6729999999999999
2011,North Macedonia,Females,0.327
2011,Serbia,Males,0.698
2011,Serbia,Females,0.30200000000000005
2011,Turkey,Males,0.725
2011,Turkey,Females,0.275
2012,All Europe,Males,0.812
2012,All Europe,Females,0.188
2012,Belgium,Males,0.878
2012,Belgium,Females,0.122
2012,Bulgaria,Males,0.726
2012,Bulgaria,Females,0.2740000000000001
2012,Czechia,Males,0.963
2012,Czechia,Females,0.037000000000000005
2012,Denmark,Males,0.831
2012,Denmark,Females,0.16899999999999998
2012,Germany,Males,0.867
2012,Germany,Females,0.133
2012,Estonia,Males,0.6629999999999999
2012,Estonia,Females,0.337
2012,Ireland,Males,0.648
2012,Ireland,Females,0.35200000000000004
2012,Greece,Males,0.627
2012,Greece,Females,0.373
2012,Spain,Males,0.826
2012,Spain,Females,0.174
2012,France,Males,0.833
2012,France,Females,0.16699999999999998
2012,Croatia,Males,0.764
2012,Croatia,Females,0.23600000000000002
2012,Italy,Males,0.7509999999999999
2012,Italy,Females,0.249
2012,Cyprus,Males,0.607
2012,Cyprus,Females,0.39299999999999996
2012,Latvia,Males,0.66
2012,Latvia,Females,0.34
2012,Lithuania,Males,0.757
2012,Lithuania,Females,0.24299999999999997
2012,Luxembourg,Males,0.9009999999999999
2012,Luxembourg,Females,0.09900000000000006
2012,Hungary,Males,0.852
2012,Hungary,Females,0.14800000000000002
2012,Malta,Males,0.863
